#Release 12.1 - par M.53d (lin64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Wed Jun 23 12:50:57 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc4vfx20
#SPEED GRADE:      -10
#PACKAGE:          ff672
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
T8,fpga_0_RS232_Uart_sout_pin,IOB,IO_L5N_8,OUTPUT,LVCMOS33,8,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T9,fpga_0_FLASH_Mem_A_pin<9>,IOB,IO_L5P_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
T10,,,TMS_0,,,,,,,,,,,,
T11,,,VCCO_0,,,0,,,,,any******,,,,
T12,,,GND,,,,,,,,,,,,
T13,,,VCCINT,,,,,,,,1.2,,,,
T14,,,DOUT_BUSY_0,,,,,,,,,,,,
T15,,,VCCINT,,,,,,,,1.2,,,,
T16,,,GND,,,,,,,,,,,,
T17,,IOBM,IO_L6P_7,UNUSED,,7,,,,,,,,,
T18,,IOBS,IO_L12N_VREF_7,UNUSED,,7,,,,,,,,,
T19,,,VCCINT,,,,,,,,1.2,,,,
T20,,IOBS,IO_L15N_7,UNUSED,,7,,,,,,,,,
T21,,,VCCO_7,,,7,,,,,any******,,,,
T22,,IOBS,IO_L5N_7,UNUSED,,7,,,,,,,,,
T23,,IOBM,IO_L5P_7,UNUSED,,7,,,,,,,,,
T24,,IOBS,IO_L7N_7,UNUSED,,7,,,,,,,,,
T25,,,NC,,,,,,,,,,,,
T26,,,NC,,,,,,,,,,,,
U1,,,NC,,,,,,,,,,,,
U2,,,NC,,,,,,,,,,,,
U3,,,GND,,,,,,,,,,,,
U4,fpga_0_FLASH_Mem_A_pin<24>,IOB,IO_L14P_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
U5,,IOBS,IO_L11N_8,UNUSED,,8,,,,,,,,,
U6,fpga_0_FLASH_Mem_A_pin<20>,IOB,IO_L11P_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
U7,fpga_0_FLASH_Mem_A_pin<14>,IOB,IO_L13P_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
U8,,,VCCO_8,,,8,,,,,3.30,,,,
U9,fpga_0_FLASH_Mem_A_pin<10>,IOB,IO_L15P_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
U10,,,TCK_0,,,,,,,,,,,,
U11,,,TDI_0,,,,,,,,,,,,
U12,,,PWRDWN_B_0,,,,,,,,,,,,
U13,,,GND,,,,,,,,,,,,
U14,fpga_0_FLASH_Mem_DQ_pin<28>,IOB,IO_L7P_D3_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
U15,fpga_0_FLASH_Mem_DQ_pin<21>,IOB,IO_L3N_D10_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
U16,fpga_0_FLASH_Mem_DQ_pin<20>,IOB,IO_L3P_D11_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
U17,,IOBS,IO_L6N_7,UNUSED,,7,,,,,,,,,
U18,,,VCCO_7,,,7,,,,,any******,,,,
U19,,IOBM,IO_L12P_7,UNUSED,,7,,,,,,,,,
U20,,IOBM,IO_L15P_7,UNUSED,,7,,,,,,,,,
U21,,IOBS,IO_L17N_7,UNUSED,,7,,,,,,,,,
U22,,,VCCINT,,,,,,,,1.2,,,,
U23,,,GND,,,,,,,,,,,,
U24,,IOBM,IO_L7P_7,UNUSED,,7,,,,,,,,,
U25,,,NC,,,,,,,,,,,,
U26,,,NC,,,,,,,,,,,,
V1,,,NC,,,,,,,,,,,,
V2,,,NC,,,,,,,,,,,,
V3,fpga_0_FLASH_Mem_A_pin<23>,IOB,IO_L16P_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
V4,fpga_0_FLASH_Mem_A_pin<22>,IOB,IO_L14N_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
V5,,,VCCO_8,,,8,,,,,3.30,,,,
V6,fpga_0_FLASH_Mem_A_pin<15>,IOB,IO_L13N_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
V7,,,VCCINT,,,,,,,,1.2,,,,
V8,fpga_0_FLASH_Mem_A_pin<13>,IOB,IO_L15N_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
V9,,,VCCINT,,,,,,,,1.2,,,,
V10,,,GND,,,,,,,,,,,,
V11,fpga_0_FLASH_Mem_DQ_pin<23>,IOB,IO_L4N_D8_VREF_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
V12,fpga_0_FLASH_Mem_DQ_pin<31>,IOB,IO_L8N_D0_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
V13,fpga_0_FLASH_Mem_DQ_pin<30>,IOB,IO_L8P_D1_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
V14,fpga_0_FLASH_Mem_DQ_pin<29>,IOB,IO_L7N_D2_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
V15,,,VCCO_2,,,2,,,,,3.30,,,,
V16,fpga_0_FLASH_Mem_DQ_pin<16>,IOB,IO_L1P_D15_CC_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
V17,,,VCCINT,,,,,,,,1.2,,,,
V18,,IOBS,IO_L28N_VREF_7,UNUSED,,7,,,,,,,,,
V19,,,VCCINT,,,,,,,,1.2,,,,
V20,,,GND,,,,,,,,,,,,
V21,,IOBM,IO_L17P_7,UNUSED,,7,,,,,,,,,
V22,,IOBS,IO_L11N_7,UNUSED,,7,,,,,,,,,
V23,,IOBM,IO_L11P_7,UNUSED,,7,,,,,,,,,
V24,,LOWCAPIOB,IO_L9N_CC_LC_7,UNUSED,,7,,,,,,,,,
V25,,,NC,,,,,,,,,,,,
V26,,,NC,,,,,,,,,,,,
W1,,,NC,,,,,,,,,,,,
W2,,,NC,,,,,,,,,,,,
W3,fpga_0_FLASH_Mem_A_pin<21>,IOB,IO_L16N_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
W4,fpga_0_SysACE_CompactFlash_SysACE_MPIRQ_pin,IOB,IO_L18N_8,INPUT,LVCMOS33,8,,,,NONE,,LOCATED,NO,NONE,
W5,fpga_0_FLASH_Mem_A_pin<19>,IOB,IO_L22N_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
W6,,,VCCAUX,,,,,,,,2.5,,,,
W7,,,GND,,,,,,,,,,,,
W8,,IOBS,IO_L23N_VRP_8,UNUSED,,8,,,TERMINATION,,,,,,
W9,,IOBM,IO_L23P_VRN_8,UNUSED,,8,,,TERMINATION,,,,,,
W10,,LOWCAPIOB,IO_L9P_CC_LC_8,UNUSED,,8,,,,,,,,,
W11,fpga_0_FLASH_Mem_DQ_pin<22>,IOB,IO_L4P_D9_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
W12,,,VCCO_2,,,2,,,,,3.30,,,,
W13,fpga_0_FLASH_Mem_DQ_pin<27>,IOB,IO_L6N_D4_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
W14,fpga_0_FLASH_Mem_DQ_pin<25>,IOB,IO_L5N_D6_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
W15,fpga_0_FLASH_Mem_DQ_pin<24>,IOB,IO_L5P_D7_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
W16,fpga_0_FLASH_Mem_DQ_pin<17>,IOB,IO_L1N_D14_CC_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
W17,,,GND,,,,,,,,,,,,
W18,,IOBM,IO_L28P_7,UNUSED,,7,,,,,,,,,
W19,,IOBS,IO_L27N_7,UNUSED,,7,,,,,,,,,
W20,,IOBM,IO_L27P_7,UNUSED,,7,,,,,,,,,
W21,,IOBM,IO_L23P_VRN_7,UNUSED,,7,,,,,,,,,
W22,,,VCCO_7,,,7,,,,,any******,,,,
W23,,IOBM,IO_L13P_7,UNUSED,,7,,,,,,,,,
W24,,LOWCAPIOB,IO_L9P_CC_LC_7,UNUSED,,7,,,,,,,,,
W25,,,GNDA_105,,,,,,,,,,,,
W26,MGT_wrapper/RX1P_IN<1>_x,IPAD,RXPPADA_105,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
Y1,,,NC,,,,,,,,,,,,
Y2,,,NC,,,,,,,,,,,,
Y3,fpga_0_SysACE_CompactFlash_SysACE_MPA_pin<6>,IOB,IO_L18P_8,OUTPUT,LVCMOS33,8,12,SLOW,NONE**,,,LOCATED,YES,NONE,
Y4,,,GND,,,,,,,,,,,,
Y5,fpga_0_FLASH_Mem_A_pin<18>,IOB,IO_L22P_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
Y6,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<8>,IOB,IO_L26P_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
Y7,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<6>,IOB,IO_L31N_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
Y8,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<4>,IOB,IO_L27P_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
Y9,,,VCCO_8,,,8,,,,,3.30,,,,
Y10,,LOWCAPIOB,IO_L9N_CC_LC_8,UNUSED,,8,,,,,,,,,
Y11,fpga_0_FLASH_Mem_DQ_pin<19>,IOB,IO_L2N_D12_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
Y12,fpga_0_FLASH_Mem_DQ_pin<18>,IOB,IO_L2P_D13_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
Y13,fpga_0_FLASH_Mem_DQ_pin<26>,IOB,IO_L6P_D5_LC_2,BIDIR,LVCMOS33,2,12,FAST,PULLDOWN,NONE,,LOCATED,YES,NONE,
Y14,,,GND,,,,,,,,,,,,
Y15,,LOWCAPIOB,IO_L8N_CC_LC_7,UNUSED,,7,,,,,,,,,
Y16,,LOWCAPIOB,IO_L8P_CC_LC_7,UNUSED,,7,,,,,,,,,
Y17,,IOBS,IO_L14N_7,UNUSED,,7,,,,,,,,,
Y18,,IOBS,IO_L20N_VREF_7,UNUSED,,7,,,,,,,,,
Y19,,,VCCO_7,,,7,,,,,any******,,,,
Y20,,IOBS,IO_L23N_VRP_7,UNUSED,,7,,,,,,,,,
Y21,,,VCCINT,,,,,,,,1.2,,,,
Y22,,IOBM,IO_L21P_7,UNUSED,,7,,,,,,,,,
Y23,,IOBS,IO_L13N_7,UNUSED,,7,,,,,,,,,
Y24,,,GND,,,,,,,,,,,,
Y25,,,AVCCAUXRXA_105,,,,,,,,,,,,
Y26,MGT_wrapper/RX1N_IN<1>_x,IPAD,RXNPADA_105,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#GT NOTE: In order to insure a successful multi-gigabit transceiver design, 
#please review the Xilinx RocketIO Transceiver User Guide, UG072. The user guide 
#contains detailed information on digital and analog design considerations, 
#including board level design guidelines to facilitate your system design. 
#The user guide is available on the Xilinx website, http://www.xilinx.com, 
#in the Documentation category under the Products and Services heading. 
#
#
